n,repeats,mean_dp_seconds,min_dp_seconds,mean_build_seconds,mean_total_seconds,mean_expected_cost,mean_height,inner_loop_count,time_per_operation
20,5,0.00011117999983980553,0.00010889999975915998,7.65999993745936e-06,0.00011883999977726489,3.146528089224332,6.0,1540,7.219480509078281e-08
50,5,0.001145639999776904,0.001101399999242858,1.5339999845309648e-05,0.0011609799996222137,4.3098718325415755,7.6,22100,5.183891401705448e-08
100,5,0.008174180000060005,0.008032599999751255,3.234000014344929e-05,0.008206520000203454,5.220549469110239,8.8,171700,4.760733838124639e-08
200,5,0.06147728000014467,0.06070220000037807,7.158000007621013e-05,0.06154886000022088,6.183960150347267,10.2,1353400,4.54243239250367e-08
400,5,0.5430395400002453,0.5372004000000743,0.0003707599997142097,0.5434102999999595,7.160838472303297,11.4,10746800,5.05303476383896e-08
