n,repeats,mean_dp_seconds,min_dp_seconds,mean_build_seconds,mean_total_seconds,mean_expected_cost,mean_height,inner_loop_count,time_per_operation
5,5,8.499999785271939e-06,6.600000233447645e-06,3.4400001823087225e-06,1.1939999967580662e-05,1.8937511163126608,3.0,35,2.428571367220554e-07
10,5,2.4000000121304765e-05,2.300000051036477e-05,3.6199999158270657e-06,2.762000003713183e-05,2.412936428754432,4.8,220,1.0909090964229438e-07
20,5,0.00011345999973855214,0.00011219999942113645,6.27999979769811e-06,0.00011973999953625025,3.146528089224332,6.0,1540,7.367532450555334e-08
50,5,0.0011684000000968808,0.0011153000004924252,1.587999977346044e-05,0.0011842799998703414,4.3098718325415755,7.6,22100,5.2868778284926733e-08
100,5,0.008436920000167446,0.008172000000740809,3.2140000075742134e-05,0.00846906000024319,5.220549469110239,8.8,171700,4.913756552223324e-08
200,5,0.0618547199999739,0.06090510000012728,8.696000004420057e-05,0.061941680000018096,6.183960150347267,10.2,1353400,4.570320673856502e-08
400,5,0.5502070999998978,0.5435300999997708,0.0003898200000548968,0.5505969199999526,7.160838472303297,11.4,10746800,5.119729593924683e-08
